"","zhong","saunders","product"
"NRCAM",0.356647800856682,0.231728742094167,0.0826455462631699
"YWHAG",0.348341291050768,0.236706488639026,0.0824546438526123
"SLC8A2",0.213827397333655,0.385006710709451,0.0823249829069933
"RAD54L2",0.270859878000097,0.293570563525471,0.0795164870209288
"PAK3",0.339078081304471,0.228917779339424,0.0776210013948922
"MAPK8",0.294411044872218,0.263174416137639,0.0774814548387182
"ZFYVE1",0.277688961326486,0.26850634280653,0.0745612474435187
"CORO1C",0.357161852788967,0.208383071363278,0.0744264838579639
"ANKRD55",0.366920636339262,0.202711948545282,0.0743791971538066
"SETBP1",0.258399723063676,0.286181730240643,0.0739492798400658
"EEA1",0.33072646175373,0.214780003123292,0.0710334304884215
"PRICKLE2",0.280802084591624,0.251322173874294,0.0705717903280003
"GRIN2B",0.284608250805193,0.244905130007027,0.0697020206645183
"SV2A",0.289183289956986,0.238639025532912,0.0690104185157367
"CHD2",0.314113082727149,0.218363556703917,0.068590849951532
"ATRX",0.323975839826857,0.210412274537362,0.0681684933531211
"HSPA13",0.203615298986506,0.333983821978669,0.0680042157688427
"HSPA12A",0.326521694234654,0.208245490747248,0.0679966704555184
"CADM3",0.202791956434891,0.33166861280881,0.0672597268795449
"CSMD3",0.302019174074423,0.222618992691024,0.0672352043058231
"CDK5R1",0.273383762377774,0.241332864839541,0.0659764865752405
"KIF3A",0.296320218290985,0.221773249004451,0.0657158975560999
"UBIAD1",0.247065711259032,0.263934634074011,0.0652091980933879
"TSPAN13",0.280773773276808,0.229737643476224,0.0645043050225415
"GIGYF1",0.256479528560257,0.244976113914976,0.0628313582054369
"NFIB",0.262415105829238,0.23764347622394,0.0623612379629332
"BRWD1",0.203024191202423,0.301065971260982,0.0611236753138328
"RTN1",0.244668587896254,0.245900679315999,0.0601641719709751
"APBB2",0.258221884760738,0.230887582784983,0.0596202267945892
"CACNB3",0.281331330651886,0.211569213648155,0.0595210484006086
"FAM126B",0.263737730577895,0.221539002108222,0.058428193650514
"POU2F2",0.224903038806611,0.257725612492537,0.0579632734278666
"CNR1",0.225989834032139,0.252106891117784,0.0569735944820665
"HERC1",0.255979827089337,0.216971187631764,0.055540247093347
"ZBTB2",0.272545060463416,0.203200703844883,0.0553813481156123
"EXO5",0.222604591443857,0.240500775696372,0.0535365769158216
"CCDC14",0.248152982107741,0.215293699862686,0.0534257736499345
"KIF1B",0.224121580476377,0.217205434527993,0.048680425274472
"HSP90AB1",0.215994236311239,0.210178027641134,0.0453972425697492
"HSP90AA1",0.211959654178674,0.21334036074022,0.0452195490848506
"ENO2",0.201948444851273,0.222358866245022,0.0449050272370744
"PRRC2C",0.201440922190202,0.222710236589365,0.0448629554397598
"KIF1A",0.204243060107594,0.211876317638791,0.0432742674788753
